run,sex,dose,cage,individual_moth,survival_time,status
1,f,302,1,10,14,Censored
1,f,302,2,1,3,Completed
1,f,302,2,2,8,Completed
1,f,302,2,3,9,Completed
1,f,302,2,4,9,Completed
1,f,302,2,5,11,Completed
1,f,302,2,6,13,Completed
1,f,302,2,7,14,Completed
1,f,302,2,8,14,Completed
1,f,302,2,9,14,Censored
1,f,302,2,10,14,Censored
1,f,302,3,1,1,Completed
1,f,302,3,2,1,Completed
1,f,302,3,3,6,Completed
1,f,302,3,4,12,Completed
1,f,302,3,5,12,Completed
1,f,302,3,6,13,Completed
1,f,302,3,7,14,Censored
1,f,302,3,8,14,Censored
1,f,302,3,9,14,Censored
1,f,302,3,10,14,Censored
1,f,376,1,1,7,Completed
1,f,376,1,2,7,Completed
1,f,376,1,3,10,Completed
1,f,376,1,4,11,Completed
1,f,376,1,5,13,Completed
1,f,376,1,6,14,Completed
1,f,376,1,7,14,Censored
1,f,376,1,8,14,Censored
1,f,376,1,9,14,Censored
1,f,376,1,10,14,Censored
1,f,376,2,1,8,Completed
1,f,376,2,2,10,Completed
1,f,376,2,3,11,Completed
1,f,376,2,4,11,Completed
1,f,376,2,5,14,Censored
1,f,376,2,6,14,Censored
1,f,376,2,7,14,Censored
1,f,376,2,8,14,Censored
1,f,376,2,9,14,Censored
1,f,376,3,1,1,Completed
1,f,376,3,2,7,Completed
1,f,376,3,3,7,Completed
1,f,376,3,4,11,Completed
1,f,376,3,5,14,Completed
1,f,376,3,6,14,Completed
1,f,376,3,7,14,Completed
1,f,376,3,8,14,Completed
1,f,376,3,9,14,Completed
1,f,376,2,10,14,Censored
1,f,376,3,11,14,Censored
2,m,3,1,1,4,Completed
2,m,3,1,2,4,Completed
2,m,3,1,3,6,Completed
2,m,3,1,4,7,Completed
2,m,3,1,5,9,Completed
2,m,3,1,6,9,Completed
2,m,3,1,7,9,Completed
2,m,3,1,8,11,Completed
2,m,3,1,9,11,Completed
2,m,3,1,10,14,Censored
2,m,3,2,1,1,Completed
2,m,3,2,2,2,Completed
2,m,3,2,3,9,Completed
2,m,3,2,4,12,Completed
2,m,3,2,5,14,Completed
2,m,3,2,6,14,Censored
2,m,3,2,7,14,Censored
2,m,3,2,8,14,Censored
2,m,3,2,9,14,Censored
2,m,3,2,10,14,Censored
2,m,3,3,1,1,Completed
2,m,3,3,2,7,Completed
2,m,3,3,3,7,Completed
2,m,3,3,4,7,Completed
2,m,3,3,5,9,Completed
2,m,3,3,6,10,Completed
2,m,3,3,7,10,Completed
2,m,3,3,8,11,Completed
2,m,3,3,9,12,Completed
2,m,3,3,10,14,Censored
2,m,171,1,1,1,Completed
2,m,171,1,2,6,Completed
2,m,171,1,3,7,Completed
2,m,171,1,4,7,Completed
2,m,171,1,5,7,Completed
2,m,171,1,6,7,Completed
2,m,171,1,7,10,Completed
2,m,171,1,8,13,Completed
2,m,171,1,9,14,Completed
